  16  104   28  120   40
X (abs(X) < 0.80 cm; step 0.10 cm) vs. X divergence (abs(dvrgX) < 5.4 mr; step 0.10 mr)
     0     0     0     1     0     1     0     0     0     0     0     0     0     0     3     1     3     0     0     0     2     0     0     1     1     1     1     3
     1     0     0     0     0     0     0     0     0     0     0     1     0     1     1     0     0     0     0     1     0     1     1     2     1     2     1     7
     2     0     2     1     0     0     0     0     0     1     0     0     0     3     1     0     1     0     0     0     1     0     3     0     1     1     1     1
     0     0     0     1     0     0     1     1     0     0     0     0     0     0     0     0     0     0     1     0     1     1     0     0     0     1     0     0
     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     1     1     0     0     0     0
     0     0     1     0     1     2     0     0     1     2     1     1     0     0     1     1     1     0     0     1     0     0     0     2     1     1     0     0
     0     1     1     0     0     1     1     0     1     0     0     0     1     1     1     1     1     1     0     0     1     0     0     1     0     2     0     0
     0     0     2     0     0     0     0     1     0     0     1     0     0     0     1     0     0     0     0     0     0     1     1     0     0     0     0     0
     1     0     1     0     0     0     1     0     0     0     0     0     1     0     0     0     1     0     0     0     1     0     1     0     0     1     0     0
     0     0     0     0     0     0     2     1     0     1     0     0     0     0     0     0     0     0     0     1     0     1     1     0     1     1     1     0
     0     0     1     0     1     1     0     1     0     1     0     0     0     2     1     2     0     1     0     0     1     0     0     2     0     0     0     1
     0     0     0     1     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0
     0     0     0     0     2     0     1     0     0     0     0     0     0     0     0     0     0     1     1     0     1     0     0     0     0     0     0     0
     1     0     0     0     1     0     1     0     1     0     0     0     0     0     0     1     0     0     0     0     1     0     0     1     0     0     1     0
     1     0     0     0     0     0     0     1     0     0     1     0     0     1     0     0     0     0     0     0     0     1     0     0     0     1     0     1
     1     1     1     1     0     0     0     0     0     0     1     1     1     1     0     1     0     1     0     0     1     2     0     1     0     0     0     2
     3     1     2     0     0     1     1     3     3     1     0     1     0     0     0     1     1     1     0     0     1     0     0     0     1     0     1     1
     2     0     2     0     0     0     0     0     2     0     0     0     4     2     0     0     0     1     2     0     0     1     0     2     0     2     0     1
     0     0     0     2     0     0     0     1     0     1     2     1     0     0     1     0     1     1     1     1     1     2     3     0     0     0     0     0
     0     1     0     3     1     0     1     0     0     0     1     1     1     1     2     0     2     2     1     1     0     1     0     1     0     1     0     0
     1     1     0     0     1     3     0     1     0     1     0     1     0     0     1     2     2     3     3     1     1     2     1     4     1     0     0     0
     3     1     2     1     1     2     0     0     1     1     1     1     2     3     1     0     0     1     0     3     1     1     3     0     2     2     0     1
     2     1     0     1     4     0     0     0     2     3     1     0     3     0     1     0     0     1     1     3     2     4     2     4     2     2     3     2
     0     2     1     3     3     2     5     3     0     1     0     2     2     1     1     2     1     1     0     1     3     1     1     0     1     0     2     0
     2     2     1     4     3     3     4     3     2     1     2     2     3     1     1     0     3     2     2     1     2     1     1     0     5     2     3     1
     0     5     4     0     3     5     1     3     2     2     1     5     6     0     1     1     4     3     2     1     0     0     3     2     3     3     6     1
     2     6     3     8     4     5     5     7     0     3     1     4     0     0     4     3     4     8     3     5     2     5     3     1     1     3     1     8
     5     3     0     9     2     4     4     3     2     3     2     3     5     2     8     2     2     4     3     6     2     4     1     3     6     2     3     7
    10    11    11    15    17    15    10     7    12     8    11    12    11     7    15     9    13    13    15    13    13    16    12    10     9    11     6    10
    51    60    49    49    39    70    38    42    46    51    51    58    55    48    44    45    45    56    55    34    58    36    38    41    44    40    54    42
    84    97    87    68    97   102    96    84   102    80    71    93    93   102    80    97    82    84    97    96    91    84    93    81    93    97    82    83
   119   134    98   137   124   129   131   135   118   140   132   119   129   132   111   122   107   141    96   109   135   129   125   129    89   131   117   122
   151   137   173   134   140   150   187   142   145   149   135   154   150   159   149   142   141   126   168   147   140   149   149   149   136   184   140   141
   164   150   132   145   156   166   151   147   151   172   169   129   145   154   149   161   152   157   135   150   152   150   153   150   137   158   149   151
   130   117   138   119   146   125   116   116   105   115   130   130   129    90   153   125   109   107   137   131   125   120   144   133   112   125   138   124
    75    86   103    99    85    92    93   113    83    79    90    87    91    88    77    81    98    85    84   103    86    77    97    72    93    81    88   103
    49    39    52    41    44    44    42    52    47    51    62    50    40    57    54    61    41    41    44    62    60    45    55    49    49    50    42    41
    13    12    11     9     9    14     9     5    12    17    10    11    14    17    17    11     8    18    11    15    19    12    11    18    18    16     9    13
     3     7     4     4     3     0     4     2     2     3     6     4     7     6     3     0     5     3     3     2     3     1     2     1     2     4     3     7
     3     1     2     3     7     1     4     7     7     2     3     3     4     0     5    10     2     6     1     5     7     3     2     2     6     6     5     2
     3     1     2     3     1     1     2     1     2     6     1     4     3     3     1     4     0     2     3     5     2     5     0     3     3     5     3     0
     7     2     0     2     2     1     2     4     2     1     1     1     0     3     1     1     3     0     5     0     2     0     1     2     2     0     3     7
     3     2     0     2     0     2     1     2     2     0     1     0     2     2     2     2     1     2     3     1     0     2     1     1     0     2     1     1
     0     1     2     1     0     0     2     2     2     2     3     2     1     3     2     0     0     0     1     1     4     1     4     1     0     1     1     3
     0     0     0     2     0     0     1     3     1     1     0     1     0     1     1     1     1     0     0     3     4     1     2     2     1     1     0     4
     1     3     1     2     2     2     2     1     1     1     1     1     1     1     1     2     0     2     1     1     1     2     0     1     1     0     1     2
     0     0     1     0     0     0     1     1     0     3     1     0     1     2     0     2     1     3     0     2     0     2     1     3     2     2     0     0
     0     2     0     0     0     0     0     1     0     1     0     1     1     0     0     1     3     0     2     0     0     0     1     1     1     2     1     0
     0     0     4     0     1     0     0     0     1     1     0     2     0     1     0     0     2     0     2     0     1     2     0     0     0     2     0     0
     0     2     0     1     1     0     0     2     0     0     0     1     0     1     0     0     2     0     0     0     1     1     0     2     2     0     0     0
     0     1     0     2     0     0     0     0     1     1     0     0     0     0     2     0     0     1     2     0     0     2     0     1     0     0     1     2
     0     0     0     0     1     0     1     0     0     0     1     0     0     0     1     2     2     0     0     0     1     0     0     0     1     0     1     0
     0     0     1     2     1     0     0     1     0     0     1     0     1     0     0     0     0     0     0     0     1     0     1     2     1     0     1     0
     0     0     0     0     0     1     0     3     0     0     0     1     0     0     0     0     1     1     1     0     2     0     0     1     0     1     1     1
     0     0     0     1     0     1     1     1     1     1     0     1     0     0     0     1     0     0     0     0     0     0     0     1     1     1     0     1
     1     0     0     1     0     0     1     0     0     0     2     0     0     0     0     0     0     1     0     0     1     0     0     0     1     1     0     0
     0     0     3     0     0     1     0     2     1     0     0     0     0     0     0     0     0     0     1     0     0     0     0     1     1     0     0     1
     1     0     0     0     0     0     0     1     0     1     0     1     0     0     0     1     0     0     0     0     1     1     0     1     0     0     0     0
     0     0     0     0     2     0     2     1     0     0     1     0     0     2     0     0     1     1     0     2     0     0     0     0     0     0     1     1
     0     0     0     0     0     0     0     1     1     0     1     0     1     0     1     0     0     1     1     0     0     0     1     0     0     0     0     0
     0     0     1     0     0     0     0     1     0     1     1     1     0     0     0     0     0     1     0     0     0     0     0     0     0     0     1     1
     0     1     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0
     1     1     1     1     0     0     1     0     0     1     1     0     0     0     0     0     0     0     0     1     2     0     0     0     0     0     0     0
     2     0     0     0     0     0     0     0     0     0     1     3     1     1     0     0     0     3     0     0     0     2     0     1     0     0     1     0
     5     0     2     0     0     0     3     0     0     1     0     0     1     0     0     1     0     0     0     1     0     1     0     1     0     0     0     0
     6     0     2     0     1     0     1     0     2     1     0     0     1     1     0     1     1     1     0     1     0     0     0     1     0     2     0     0
     2     4     1     1     1     0     0     2     1     1     0     0     0     0     0     1     0     0     0     0     0     0     0     0     1     0     0     0
     0     3     1     1     0     0     1     0     2     0     2     0     0     1     2     0     1     0     0     1     0     2     3     0     1     1     0     0
     1     2     0     0     1     1     1     1     1     0     1     0     0     0     1     0     1     1     0     0     0     0     0     1     0     1     1     0
     4     0     0     0     0     0     1     0     1     0     0     0     1     0     0     0     2     0     0     0     0     0     0     0     0     1     0     1
     4     2     2     1     0     0     0     1     1     1     0     0     0     1     0     2     0     0     0     1     0     0     1     2     1     1     1     0
     5     1     0     1     1     0     0     0     0     0     1     0     1     0     2     1     0     0     1     1     0     0     0     1     0     0     0     0
     4     3     0     1     1     0     0     0     0     0     0     0     0     1     0     0     1     1     1     1     0     0     0     1     0     0     1     0
     6     3     1     2     0     0     0     0     0     0     0     1     0     2     0     0     1     1     1     0     0     0     0     1     1     1     0     0
     6     4     3     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     1     0     0     0     1     0     0     0     0
